Account address,Show boosts,Notify on new posts,Languages
_delta_zero@infosec.exchange,true,false,
0x00string@infosec.exchange,true,false,
0xabad1dea@infosec.exchange,true,false,
0xamit@infosec.exchange,true,false,
0xc0ffee@infosec.exchange,true,false,
0xDUDE@mastodon.social,true,false,
0xhexhacker@mathstodon.xyz,true,false,
0xlouis@mastodon.social,true,false,
2600@mastodon.online,true,false,
305Vic@infosec.exchange,true,false,
44CON@infosec.exchange,true,false,
A1zen@mastodon.social,true,false,
aaronosaurus@hachyderm.io,true,false,
aaronportnoy@infosec.exchange,true,false,
abnerg@hachyderm.io,true,false,
abrignoni@infosec.exchange,true,false,
accidentalciso@infosec.exchange,true,false,
acroll@nerdculture.de,true,false,
adamdavidson@journa.host,true,false,
adamo@infosec.exchange,true,false,
adamshostack@infosec.exchange,true,false,
adh@infosec.exchange,true,false,
admin@friendsofdesoto.social,true,false,
adminkirsty@infosec.exchange,true,false,
aeva@mastodon.gamedev.place,true,false,
Agarri_FR@mastodon.xyz,true,false,
agreenberg@infosec.exchange,true,false,
aidan_walsh@mastodon.ie,true,false,
aikensource@infosec.exchange,true,false,
albinolobster@infosec.exchange,true,false,
albinowax@infosec.exchange,true,false,
alex@cybervillains.com,true,false,
alexhern@tech.intersects.art,true,false,
alexmunroe@infosec.exchange,true,false,
alien@infosec.exchange,true,false,
allanfriedman@infosec.exchange,true,false,
alxrogan@defcon.social,true,false,
alyssam_infosec@infosec.exchange,true,false,
amarkulo@mastodon.social,true,false,
amita@prodromou.pub,true,false,
AndrewMohawk@infosec.exchange,true,false,
andykroll@mastodon.world,true,false,
angus@defcon.social,true,false,
annaghughes@mastodon.online,true,false,
AnnieWaldman@newsie.social,true,false,
anticomputer@emacs.ch,true,false,
antifarben@mastodon.social,true,false,
antifuse@infosec.exchange,true,false,
apiratemoo@infosec.exchange,true,false,
april@macaw.social,true,false,
aprilwright@infosec.exchange,true,false,
ARI@defcon.social,true,false,
arman@mastodon.think-privacy.com,true,false,
armengar@infosec.exchange,true,false,
arrdem@macaw.social,true,false,
artk@infosec.exchange,true,false,
asherwolf@mastodon.social,true,false,
AustinHackers@infosec.exchange,true,false,
axnxcamr@mstdn.ca,true,false,
b0rk@jvns.ca,true,false,
babyfangs@infosec.exchange,true,false,
banasidhe@kolektiva.social,true,false,
banbreach@infosec.exchange,true,false,
baybedoll@infosec.exchange,true,false,
bcrypt@infosec.exchange,true,false,
bdooling@infosec.exchange,true,false,
beaubouchard@infosec.exchange,true,false,
beauwoods@defcon.social,true,false,
beauwoods@infosec.exchange,true,false,
beauwoods@mastodon.social,true,false,
benheise@infosec.exchange,true,false,
BenjaminAhr@mastodon.social,true,false,
bfu@haunted.computer,true,false,
bghote@infosec.exchange,true,false,
bgingold@macaw.social,true,false,
bigzaphod@mastodon.social,true,false,
binarywishes@infosec.exchange,true,false,
binitamshah@ioc.exchange,true,false,
bitchpeas@infosec.exchange,true,false,
bitterkarella@sfba.social,true,false,
bittner@hachyderm.io,true,false,
bjmendelson@mastodon.social,true,false,
BleepingComputer@infosec.exchange,true,false,
bobasketright@infosec.exchange,true,false,
bobdobberson@dobbs.town,true,false,
boblord@infosec.exchange,true,false,
bonsaiviking@infosec.exchange,true,false,
bontchev@infosec.exchange,true,false,
botherder@mastodon.social,true,false,
bplein@bvp.me,true,false,
bradfitz@inuh.net,true,false,
brain@infosec.exchange,true,false,
briankrebs@infosec.exchange,true,false,
BrianWGray@infosec.exchange,true,false,
bsides312@infosec.exchange,true,false,
BSidesLV@infosec.exchange,true,false,
BurbSecNorth@infosec.exchange,true,false,
burrowingsec@mastodon.social,true,false,
busterb@infosec.exchange,true,false,
bykenarmstrong@mastodon.social,true,false,
byt3bl33d3r@infosec.exchange,true,false,
c@pub.waffle.tech,true,false,
c7five@infosec.exchange,true,false,
calebjasik@mas.to,true,false,
campuscodi@mastodon.social,true,false,
cannibal@infosec.exchange,true,false,
cap@twit.social,true,false,
carolinechen@mastodon.social,true,false,
caseyjohnellis@infosec.exchange,true,false,
Castopod@podlibre.social,true,false,
casualsec@infosec.exchange,true,false,
catc0n@infosec.exchange,true,false,
catsalad@infosec.exchange,true,false,
ceci@friendsofdesoto.social,true,false,
cendyne@furry.engineer,true,false,
cetasyn@infosec.exchange,true,false,
cfarivar@journa.host,true,false,
cfp_time@infosec.exchange,true,false,
chadloder@kolektiva.social,true,false,
charlesdardaman@infosec.exchange,true,false,
Charlotteshhhh@zeroes.ca,true,false,
chich@infosec.exchange,true,false,
chiesennegs@infosec.exchange,true,false,
ChloeMessdaghi@infosec.exchange,true,false,
chris_kirsch@infosec.exchange,true,false,
chrisd9r@journa.host,true,false,
ChrisJohnRiley@infosec.exchange,true,false,
chrismerkel@infosec.exchange,true,false,
